id,name,ig_followers,ig_handle,category,subcategory
45842,She Is,54295,_.ival_,Community Pages,Art & Artist Community Page
45793,Surprisingly Short Stories,54059,surprisinglyshortstories,"News, Media & Magazines",Feel-Good News / Stories
32438,Joker Bgm,53856,jokerbgm_,Comedy & Memes,Viral & Memes
32899,Apna Ghaziabad,53728,apnaghaziabad_,Community Pages,City-focused Content
41276,La Kolkata Tales,53303,la.kolkata.tales,Community Pages,City-focused Content
38518,The_ayush_lyrics,52946,the_ayush_lyrics,"News, Media & Magazines",Entertainment
19439,Amarjeet,52497,ar_lyrics_01,Community Pages,Art & Artist Community Page
32852,So Mumbai,51767,somumbai,Community Pages,City-focused Content
46817,Financeupmedia,51604,financeupmedia,"News, Media & Magazines",Business & Finance
45155,The Musical Strings,51530,the_musical_strings,"News, Media & Magazines",Entertainment
46001,𝐒𝐎𝐍𝐆 𝐋𝐈𝐁𝐑𝐀𝐑𝐘,51418,ss_status_03,Entertainment,Singing & Music Videos
32964,Noida Ke Public,50973,noida_ke_public,Community Pages,City-focused Content
6836,Webseries Official,50775,webseries_official_,Comedy & Memes,Viral & Memes
19511,Muslimah,50233,her_conceived_feelings,Comedy & Memes,Viral & Memes
38448,Dev Edits,50057,devedits.xd,Community Pages,Art & Artist Community Page
16099,Streets Of Maharashtra,49871,streets.of.maharashtra,Community Pages,City-focused Content
45691,Atull Ed.9k,49558,atull_ed.9k,Comedy & Memes,Viral & Memes
45911,Tiger Shroff A1 Fan,49360,piyush2tiger,Community Pages,Fan-Page: Movies & Movie-Celebs
51770,Expert Electricians,49275,expert_electricians,Home & Decor,Architecture & Construction
13316,Kolkata In Frame,49154,kolkata_inframe_,Community Pages,City-focused Content
32913,Whats Up Pune,49091,whatsuppune,Community Pages,City-focused Content
40039,Enku,49091,trollenku,Comedy & Memes,Viral & Memes
44309,Surat Breaking,48967,surat_breaking,"News, Media & Magazines",Breaking News & Headlines
43753,Shree Sarweshwar Ayurvedshala,48655,ssayurvedshala,,
38500,Love_lyrics_rj,48518,love____lyrics____rj,Community Pages,Fan-Page: Movies & Movie-Celebs
38447,𝗟𝗬𝗥𝗜𝗖𝗦 | 𝗟𝗢𝗙𝗜 | 𝗔𝗘𝗦𝗧𝗛𝗘𝗧𝗜𝗖,48452,am.abxii,Community Pages,Art & Artist Community Page
45667,Old Days,47977,old_nostaglic_days,Comedy & Memes,Viral & Memes
38539,~𝐑𝐞𝐞𝐥𝐬,47926,1m.sahilll,Comedy & Memes,Viral & Memes
32974,Delhi Events,47694,official_delhi_events,Community Pages,City-focused Content
2167,Salman Khan Fc Bihar,47511,salmankhanfcbihar,Community Pages,Fan-Page: Movies & Movie-Celebs
