id,name,ig_followers,ig_handle,category,subcategory,location
33481,Mimy Liansangpuii,22247,stylewithmimy,Fashion,Style & Grooming,Aizawl
46973,Lalchungnunga,19602,chungnunga_,Sports,Professional: Team Sports,Aizawl
33429,Teecee,7251,tc.i__,Lifestyle & Living,Personal Vlogs,Aizawl
43797,Mohd Iqbal,16877,motivation_by_examstate,Learning,Personal-Development,Akbarpur
14671,Gaurav Chaudhary,6077847,technicalguruji,Tech,Gadget Reviews & Unboxing,Ajmer
42791,Prakash Choudhary,5681964,prakash_official55,Entertainment,Vox-Pop / Street-Polls & QnA,Ajmer
25067,Keshav Maloo,867781,sarcaaster,Comedy & Memes,Funny Shorts,Ajmer
20086,Aayush Anand,317238,anand2143,Arts,"Acting, Pro (Movies)",Ajmer
15469,Hitesh Tekwani,297907,hitesh__tekwani_,Fashion,Style & Grooming,Ajmer
38560,M R  7 7 7,212037,mr_arfa777,Entertainment,Fun-Content,Ajmer
2935,𝐍𝐈𝐒𝐇𝐀 𝐑𝐀𝐉𝐏𝐔𝐓,67397,i_am_nisharajpt,Lifestyle & Living,Personal Vlogs,Ajmer
3690,Shikha Mathur,57922,ajmerfoodie,Travel & Places,City-focused Content,Ajmer
873,Vidhi Bhargava,50129,vidhi.bhargava_,Fashion,Style & Grooming,Ajmer
41267,Amit Setia,45288,creativeframe50,Photography / Videography,Wedding Photography,Ajmer
4585,Sagar Meghani,26090,rjsagarrrr,Entertainment,Info-tainment,Ajmer
40275,Sindhi Memes,20333,sindhirandhino,Comedy & Memes,Viral & Memes,Ajmer
267,Shivani Jain,9447,gunnu_punu,Lifestyle & Living,Personal Vlogs,Ajmer
38824,Abhay Shrivastav,33808,agra_wale0008,Entertainment,Fun-Content,Agra
3637,Vaibhav Lalwani,31606,vaibhav_lalwani,Fitness,Training & Fitness,Agra
674,Sakshi Belani,29824,sakshibelani087,Lifestyle & Living,Personal Vlogs,Agra
5181,Suchita Tomer,29018,mama_and_arjun,"Family, Kids & Pets",Family / Couple Vlogs ,Agra
45971,Rasteena,26566,rasteenas,Fashion,Style & Grooming,Agra
42213,Anita Bhatt,23667,anita.bhatt.5,Arts,Music & Singing,Agra
41796,Skid,22299,djskidofficial,Entertainment,Entertaining Dance Videos,Agra
25959,𝐑𝐚𝐫𝐢𝐬𝐬𝐢𝐦𝐞,22197,yashisharma76,Lifestyle & Living,Personal Vlogs,Agra
943,Lavisha Vaswani,20673,lavisha_vaswani,Lifestyle & Living,Personal Vlogs,Agra
4315,Sonika Mittal,20282,getinfluencedwithsonika,Lifestyle & Living,Personal Vlogs,Agra
16909,Apoorva,20238,apoorvaguptaofficial8,Beauty,Makeup & Cosmetics,Agra
21531,Himanshi Chopra,16815,chopra_food_tales,Lifestyle & Living,Product Reviews / Shopping,Agra
15699,Muskan,15812,muskan.sami,Beauty,Skin-Care,Agra
1608,Wahi,15750,wahi_sahab_vines,"Family, Kids & Pets",Family / Couple Vlogs ,Agra
20729,Payal Singhal,14627,singhalpayal826,Entertainment,Fun-Content,Agra
40551,Priya Aneja,14262,priyaaneja_makeupartist,Beauty,Makeup & Cosmetics,Agra
1234,Somya Malik,13847,somyamalik27,Beauty,Makeup & Cosmetics,Agra
46433,Arjun Nk,12930,my_opinion_arjun,Lifestyle & Living,Personal Vlogs,Agra
30208,Ritu,12617,rituanjli,Entertainment,Singing & Music Videos,Agra
20771,Archana,11916,blog_by_archana,Lifestyle & Living,Personal Vlogs,Agra
22303,Pratiksinh Chudasama,344250,digitalpratik,Learning,Professional Development,Ahmedabad
3702,Yash Lalwani,341861,lalwani.yash,Entertainment,Fun-Content,Ahmedabad
9161,"𝗧𝗔𝗟𝗔𝗧𝗜, 𝗖𝗟𝗘𝗥𝗞, 𝗚𝗣𝗦𝗖",328716,crack_gpsc_exams,Education,Test-Preparation,Ahmedabad
25298,Aarti Rajput,326262,aarti_rajput_,Lifestyle & Living,Personal Vlogs,Ahmedabad
38601,𝐌𝐞𝐯𝐚𝐝𝐚𝐑𝐢𝐭𝐮,324255,5stargopi,Entertainment,Fun-Content,Ahmedabad
46231,Ahmedabad Express,321680,ahmedabad.express,Community Pages,City-focused Content,Ahmedabad
11196,Cricket Shaukeens | Nishant Baraai,321439,cricket_shaukeens.official,Community Pages,Fan-Page: Sports & Sports-Celebs,Ahmedabad
2453,Dr Falguni Vasavada,321352,falgunivasavada,Lifestyle & Living,Personal Vlogs,Ahmedabad
8329,Vaishali,319511,vaishalii_2810,,,Ahmedabad
26413,Divya,319388,divyas_choreography,Entertainment,Entertaining Dance Videos,Ahmedabad
15921,Aditya Goswami,309182,adityagoswami04,"Family, Kids & Pets",Family / Couple Vlogs ,Ahmedabad
2047,Panchal Sani,300558,p_sani01,Entertainment,Fun-Content,Ahmedabad
28514,Ishani Dave,289057,ishanipdave,Arts,Music & Singing,Ahmedabad
47891,Riddhi Mansuriya,286444,explorewith_riddhi,,,Ahmedabad
42638,Shraddha Dangar,284996,shraddhadangar_official,Arts,"Acting, Pro (Movies)",Ahmedabad
50414,Mahi Patel,280836,ekta_queen11,Lifestyle & Living,Personal Vlogs,Ahmedabad
44722,Radhika Dihora,265565,radhika.dihora,Entertainment,Fun-Content,Ahmedabad
4794,Krupali Patel,265103,foodiekru,Food ,Food Reviews,Ahmedabad
38363,Monika Dave,261671,monika_dave_makeover,Beauty,Makeup & Cosmetics,Ahmedabad
2288,Riya Turakhia,256641,snug.style.chic,Fashion,Style & Grooming,Ahmedabad
1766,Shoheb Shaikh,338059,i_am_shohebshaikh,Entertainment,Singing & Music Videos,Akola
42208,Mohini Hajare,182826,mohini_hajare_mh30,Entertainment,Singing & Music Videos,Akola
2107,Sharayu Waghmare,116221,thepleasing_eye,"Family, Kids & Pets",Family / Couple Vlogs ,Akola
27372,Vipshyana Oimbe,38520,justmythings29,Lifestyle & Living,Personal Vlogs,Akola
47017,Atharva Taide,32948,atharva_taide,Sports,Professional: Team Sports,Akola
52793,Worth Marathi,20924,worthmarathi,Comedy & Memes,Viral & Memes,Akola
31865,Abu Saalim,5883621,_abu_saalim_,Entertainment,Fun-Content,Alappuzha
20620,Mariya Puthuran,540803,mariya_ammu19,Lifestyle & Living,Personal Vlogs,Alappuzha
40071,Anjali Ps,188773,anjalips171,"Family, Kids & Pets",Family / Couple Vlogs ,Alappuzha
2561,Prathamesh Kadam,175340,_prathamesh_kadam,"Family, Kids & Pets",Family / Couple Vlogs ,Alibag
2911,Faiyaz Ali,70464,faiyzstagram,Entertainment,Fun-Content,Alibag
46438,Riya,22271,riyapatni22,Fashion,Style & Grooming,Alibag
44036,Pathar Sawan,21693,pathar_sawan,Beauty,Makeup & Cosmetics,Alibag
